names,Company names
at&t,AT&T corp
att,AT&T corp
t&t,AT&T corp
a&t,At&T corp
BSNL,BSNL India
vsnl,BSNL India
snl,BSNL India
vsi,BSNL India
jpm,J P Morgan & Chase
jpmorgan,J P Morgan & Chase
morgan,J P Morgan & Chase
ipm,J P Morgan & Chase
kmp,KPMG India
kpmg,KPMG India
kgs,KPMG India
kpmc,KPMG India
pfizer,pfizer pharma
fizer,pfizer pharma
fzr,pfizer pharma
serum,Serum chemicals
srum,Serum chemicals
sirum,Serum chemicals
sherm,Serum chemicals
coca cola,Coca cola drinks
coco,Coca cola drinks
cola,Coca cola drinks
cc cla,coca cola drinks
apple,Apple inc
ple,Apple inc
apl,Apple inc
Ferrari,Ferrari cars
feirari,Ferrari cars
